t,v
2014-10-31 07:00:00,184454
2014-11-30 08:00:00,187667
2014-12-31 08:00:00,189279
2015-01-31 08:00:00,188022
2015-02-28 08:00:00,187698
2015-03-31 07:00:00,192612
2015-04-30 07:00:00,194104
2015-05-31 07:00:00,191853
2015-06-30 07:00:00,191505
2015-07-31 07:00:00,188644
2015-08-31 07:00:00,189272
2015-09-30 07:00:00,188973
2015-10-31 07:00:00,115583
2015-11-30 08:00:00,130970
2015-12-31 08:00:00,131437
2016-01-31 08:00:00,220130
2016-02-29 08:00:00,228149
2016-03-31 07:00:00,229052
2016-04-30 07:00:00,229773
2016-05-31 07:00:00,231551
2016-06-30 07:00:00,231312
2016-07-31 07:00:00,232774
2016-08-31 07:00:00,231285
2016-09-30 07:00:00,230776
2016-10-31 07:00:00,231401
2016-11-30 08:00:00,234052
2016-12-31 08:00:00,235005
2017-01-31 08:00:00,234057
2017-02-28 08:00:00,236468
2017-03-31 07:00:00,237605
2017-04-30 07:00:00,237970
2017-05-31 07:00:00,240110
2017-06-30 07:00:00,240634
2017-07-31 07:00:00,238099
2017-08-31 07:00:00,239322
2017-09-30 07:00:00,240309
2017-10-31 07:00:00,239403
2017-11-30 08:00:00,239731
2017-12-31 08:00:00,240102
2018-01-31 08:00:00,241781
2018-02-28 08:00:00,241870
2018-03-31 07:00:00,243803
2018-04-30 07:00:00,245704
2018-05-31 07:00:00,246864
2018-06-30 07:00:00,246908
2018-07-31 07:00:00,247990
2018-08-31 07:00:00,249121
2018-09-30 07:00:00,249426
2018-10-31 07:00:00,250135
2018-11-30 08:00:00,251763
2018-12-31 08:00:00,252431
2019-01-31 08:00:00,254106
2019-02-28 08:00:00,254247
2019-03-31 07:00:00,246562
2019-04-30 07:00:00,237267
2019-05-31 07:00:00,233226
2019-06-30 07:00:00,225476
2019-07-31 07:00:00,225064
2019-08-31 07:00:00,226387
2019-09-30 07:00:00,215744
2019-10-31 07:00:00,218520
2019-11-30 08:00:00,223013
2019-12-31 08:00:00,223591
2020-01-31 08:00:00,223141
2020-02-29 08:00:00,223219
2020-03-31 07:00:00,224810
2020-04-30 07:00:00,227471
2020-05-31 07:00:00,228005
2020-06-30 07:00:00,224609
2020-07-31 07:00:00,223687
2020-08-31 07:00:00,224340
2020-09-30 07:00:00,222871
2020-10-31 07:00:00,219840
2020-11-30 08:00:00,230501
2020-12-31 08:00:00,228125
2021-01-31 08:00:00,230593
2021-02-28 08:00:00,233478
2021-03-31 07:00:00,232413
2021-04-30 07:00:00,238535
2021-05-31 07:00:00,241688
2021-06-30 07:00:00,242700
2021-07-31 07:00:00,242300
2021-08-31 07:00:00,240500
2021-09-30 07:00:00,239600
2021-10-31 07:00:00,239600
2021-11-30 08:00:00,241400
2021-12-31 08:00:00,241300
2022-01-31 08:00:00,244500
2022-02-28 08:00:00,246800
2022-03-31 07:00:00,250600
2022-04-30 07:00:00,250300
2022-05-31 07:00:00,252500
2022-06-30 07:00:00,254200
2022-07-31 07:00:00,253300
2022-08-31 07:00:00,249600
2022-09-30 07:00:00,249300
2022-10-31 07:00:00,249700
2022-11-30 08:00:00,248700
2022-12-31 08:00:00,245700
2023-01-31 08:00:00,245700
2023-02-28 08:00:00,247700
2023-03-31 07:00:00,252100
2023-04-30 07:00:00,254200
2023-05-31 07:00:00,254400
2023-06-30 07:00:00,264100
2023-07-31 07:00:00,261000
2023-08-31 07:00:00,256300
2023-09-30 07:00:00,255000
2023-10-31 07:00:00,240100
2023-11-30 08:00:00,249900
2023-12-31 08:00:00,252400
2024-01-31 08:00:00,251500
2024-02-29 08:00:00,255300
2024-03-31 07:00:00,255600
2024-04-30 07:00:00,230800
2024-05-31 07:00:00,232100
2024-06-30 07:00:00,232900
2024-07-31 07:00:00,232900
2024-08-31 07:00:00,232900
2024-09-30 07:00:00,231500
2024-10-04 07:00:00,231800
